nome,tipo,categoria,fornecedor,numero_serie,chave_licenca,data_aquisicao,valor_compra,status,localizacao
Dell OptiPlex 7010,HARDWARE,Desktop,Positivo Tecnologia S.A.,DE9PYSXTTA,,2026-03-20,4502.04,ATIVO,Anexo I - Sala 12
Intelbras SG 2404 MR,HARDWARE,Switch,Samsung Eletronica da Amazonia,SWR896BFUQ,,2022-12-20,1313.75,ATIVO,Home office
HP LaserJet Pro M404dn,HARDWARE,Impressora,Cisco do Brasil Ltda,IMZ8Y5XY7T,,2025-04-20,2244.79,ATIVO,Deposito de TI
HP EliteDesk 800 G9,HARDWARE,Desktop,Lenovo Tecnologia Brasil Ltda,DEWHMNP8TU,,2025-08-20,4945.72,ATIVO,Bloco B - Almoxarifado
Dell OptiPlex 7010,HARDWARE,Desktop,APC by Schneider Electric Brasil,DEVAJTCDUJ,,2026-02-20,5229.37,ATIVO,Datacenter - Rack 02
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SE886XMDS8,,2026-04-20,50760.83,ATIVO,Bloco A - Sala 204
HP LaserJet Pro M404dn,HARDWARE,Impressora,Positivo Tecnologia S.A.,IMDKKVFRH4,,2023-11-20,2331.10,ATIVO,Anexo II - Sala 05
HP ProLiant DL380 Gen10,HARDWARE,Servidor,HP Brasil Industria e Comercio,SE5VDGPPSF,,2025-05-20,47929.19,ATIVO,Bloco A - Sala 204
Dell OptiPlex 7010,HARDWARE,Desktop,Cisco do Brasil Ltda,DEA468UCQU,,2022-12-20,5214.27,ATIVO,Bloco A - Sala 204
Samsung Galaxy S23,HARDWARE,Smartphone,HP Brasil Industria e Comercio,SMQSN5HQKT,,2026-04-20,3845.55,ATIVO,Bloco B - Sala 310
Samsung SL-M4020ND,HARDWARE,Impressora,APC by Schneider Electric Brasil,IMU6H7V3T9,,2026-03-20,2149.41,ATIVO,Anexo I - Sala 12
Samsung Galaxy Tab S9,HARDWARE,Tablet,HP Brasil Industria e Comercio,TAWSBFQBTC,,2024-02-20,4118.66,BAIXADO,Anexo II - Sala 05
Dell PowerEdge R650,HARDWARE,Servidor,Intelbras S.A.,SEM59F8Y4X,,2023-02-20,43444.99,ATIVO,Bloco A - Recepcao
Dell PowerEdge T350,HARDWARE,Servidor,Cisco do Brasil Ltda,SE49U3C7FW,,2024-12-20,19064.24,ATIVO,Anexo I - Sala 12
Cisco ISR 1111,HARDWARE,Roteador,Dell Computadores do Brasil Ltda,ROA74DNZ96,,2025-07-20,7363.93,EM_MANUTENCAO,Bloco A - Recepcao
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Samsung Eletronica da Amazonia,SE69HBRLVA,,2026-03-20,48564.26,BAIXADO,Bloco A - Sala 204
Cisco Catalyst 1000-24T,HARDWARE,Switch,Positivo Tecnologia S.A.,SWHK9UT488,,2024-03-20,4251.68,ATIVO,Anexo I - Sala 12
HP EliteDesk 800 G9,HARDWARE,Desktop,Cisco do Brasil Ltda,DEJET4XTAU,,2023-07-20,5299.74,ATIVO,Home office
Intelbras SG 2404 MR,HARDWARE,Switch,Positivo Tecnologia S.A.,SWK68YX27W,,2022-12-20,1312.24,ATIVO,Anexo I - Sala 12
Positivo Master D2300,HARDWARE,Desktop,Dell Computadores do Brasil Ltda,DE4CW822K9,,2025-12-20,3401.87,ATIVO,Datacenter - Rack 02
Dell PowerEdge T350,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SEG6G7AK4K,,2024-02-20,22418.89,ATIVO,Bloco B - Sala 310
Dell PowerEdge T350,HARDWARE,Servidor,Positivo Tecnologia S.A.,SE3FX2W9CE,,2023-04-20,21929.37,ATIVO,Bloco B - Sala 310
Positivo Master D2300,HARDWARE,Desktop,Dell Computadores do Brasil Ltda,DEF5GG6LVB,,2024-12-20,3641.65,ATIVO,Bloco B - Sala 310
Dell P2422H 24,HARDWARE,Monitor,Lenovo Tecnologia Brasil Ltda,MOZ5KR4MLM,,2023-05-20,1197.90,ATIVO,Datacenter - Rack 02
Samsung Galaxy S23,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,SMR9KQ7S7S,,2024-03-20,4714.05,ATIVO,Home office
Intelbras RF 1200,HARDWARE,Roteador,Cisco do Brasil Ltda,ROLE6YV5S7,,2025-08-20,694.31,ATIVO,Anexo II - Sala 05
Dell Vostro 3520,HARDWARE,Notebook,Dell Computadores do Brasil Ltda,NOR2YUUB3T,,2023-08-20,4459.23,ATIVO,Deposito de TI
Lenovo ThinkPad E14,HARDWARE,Notebook,Lenovo Tecnologia Brasil Ltda,NO9UQYQNSJ,,2023-04-20,5589.66,ATIVO,Bloco B - Sala 310
APC Smart-UPS 1500VA,HARDWARE,Nobreak,HP Brasil Industria e Comercio,NO6CZJFUW4,,2025-08-20,3555.70,BAIXADO,Datacenter - Rack 01
Dell P2422H 24,HARDWARE,Monitor,Lenovo Tecnologia Brasil Ltda,MOTLS8UXH7,,2025-11-20,1167.10,ATIVO,Bloco B - Sala 302
Samsung Galaxy S23,HARDWARE,Smartphone,Intelbras S.A.,SM3ZF3ASH7,,2023-01-20,4556.98,EM_MANUTENCAO,Bloco B - Sala 310
HP LaserJet Pro M404dn,HARDWARE,Impressora,Lenovo Tecnologia Brasil Ltda,IM2ZGQ8BWQ,,2023-04-20,2586.54,ATIVO,Deposito de TI
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SE4HJCCV9H,,2025-05-20,56833.00,ATIVO,Bloco A - Recepcao
Samsung LF24T350 24,HARDWARE,Monitor,Cisco do Brasil Ltda,MO7Z4K4G94,,2026-06-20,888.82,ATIVO,Bloco B - Sala 302
Cisco Catalyst 1000-24T,HARDWARE,Switch,Cisco do Brasil Ltda,SW6RZGZYD3,,2025-08-20,4671.95,ATIVO,Anexo II - Sala 05
HP ProBook 450 G10,HARDWARE,Notebook,Positivo Tecnologia S.A.,NOPBDXRJPE,,2023-07-20,5404.60,ATIVO,Bloco B - Sala 302
Dell PowerEdge T350,HARDWARE,Servidor,Dell Computadores do Brasil Ltda,SEKATKJSMH,,2025-12-20,18554.90,BAIXADO,Bloco B - Sala 302
HP LaserJet Pro M404dn,HARDWARE,Impressora,Lenovo Tecnologia Brasil Ltda,IMWBMSDJ4H,,2024-02-20,2370.21,ATIVO,Bloco B - Almoxarifado
Cisco ISR 1111,HARDWARE,Roteador,APC by Schneider Electric Brasil,ROG6QCV7BD,,2024-07-20,7661.98,ATIVO,Bloco A - Sala 204
Intelbras SG 2404 MR,HARDWARE,Switch,Intelbras S.A.,SW6EFWKEJT,,2024-08-20,1566.19,ATIVO,Datacenter - Rack 01
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Samsung Eletronica da Amazonia,SE75GHP56Q,,2024-11-20,56086.19,ATIVO,Anexo I - Sala 12
LG 24MK430H,HARDWARE,Monitor,Lenovo Tecnologia Brasil Ltda,MOGW5WSZK8,,2026-03-20,842.11,ATIVO,Bloco A - Sala 204
LG 24MK430H,HARDWARE,Monitor,Samsung Eletronica da Amazonia,MOGZJDXH4Y,,2022-10-20,696.03,BAIXADO,Bloco B - Sala 310
Samsung SL-M4020ND,HARDWARE,Impressora,Intelbras S.A.,IMVYGPK8QG,,2023-09-20,2033.25,ATIVO,Bloco B - Sala 310
HP LaserJet Pro M404dn,HARDWARE,Impressora,Intelbras S.A.,IMQ5BTBMTV,,2024-10-20,2115.52,ATIVO,Bloco A - Recepcao
HP LaserJet Pro M404dn,HARDWARE,Impressora,APC by Schneider Electric Brasil,IM3EKBFP24,,2024-11-20,2202.67,ATIVO,Bloco B - Sala 310
Samsung Galaxy Tab S9,HARDWARE,Tablet,APC by Schneider Electric Brasil,TAWFDKLDFT,,2023-02-20,4025.23,ATIVO,Datacenter - Rack 02
Cisco Catalyst 1000-24T,HARDWARE,Switch,APC by Schneider Electric Brasil,SW4TPHY5HU,,2023-11-20,4368.47,ATIVO,Bloco A - Sala 101
Positivo Master D2300,HARDWARE,Desktop,Cisco do Brasil Ltda,DE3DAPVPJS,,2024-12-20,3089.91,ATIVO,Anexo II - Sala 05
Samsung Galaxy Tab S9,HARDWARE,Tablet,Dell Computadores do Brasil Ltda,TA5MJ2QYE3,,2024-05-20,3626.44,ATIVO,Bloco A - Sala 204
Dell PowerEdge T350,HARDWARE,Servidor,HP Brasil Industria e Comercio,SE534UH3BW,,2023-05-20,20798.89,ATIVO,Deposito de TI
Dell P2422H 24,HARDWARE,Monitor,Cisco do Brasil Ltda,MOF5GR53F3,,2022-09-20,1057.63,EM_MANUTENCAO,Bloco B - Almoxarifado
Samsung Galaxy Tab A8,HARDWARE,Tablet,Lenovo Tecnologia Brasil Ltda,TALEHNYYKR,,2025-11-20,1223.86,BAIXADO,Bloco A - Recepcao
Samsung SL-M4020ND,HARDWARE,Impressora,HP Brasil Industria e Comercio,IMKEM976WW,,2024-04-20,1882.42,ATIVO,Anexo II - Sala 05
Samsung Galaxy A54,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,SMVTDYEV76,,2026-05-20,1840.14,BAIXADO,Bloco B - Sala 310
HP ProBook 450 G10,HARDWARE,Notebook,HP Brasil Industria e Comercio,NOF27C6NW8,,2026-05-20,5731.13,BAIXADO,Bloco B - Almoxarifado
Motorola Edge 40,HARDWARE,Smartphone,Intelbras S.A.,SMFMCR66LZ,,2025-02-20,2335.15,ATIVO,Bloco B - Almoxarifado
Samsung Galaxy S23,HARDWARE,Smartphone,HP Brasil Industria e Comercio,SMDXEXG2US,,2024-11-20,3868.11,ATIVO,Home office
Lenovo IdeaPad 3,HARDWARE,Notebook,HP Brasil Industria e Comercio,NOYV3JFV2X,,2023-02-20,3355.77,ATIVO,Deposito de TI
Samsung Galaxy S23,HARDWARE,Smartphone,Intelbras S.A.,SMF5ZBZVMP,,2024-01-20,3982.15,ATIVO,Bloco A - Recepcao
Lenovo IdeaPad 3,HARDWARE,Notebook,HP Brasil Industria e Comercio,NOEUGCXJ2K,,2025-09-20,3454.47,ATIVO,Datacenter - Rack 02
APC Smart-UPS 1500VA,HARDWARE,Nobreak,APC by Schneider Electric Brasil,NOL6C4ZR6U,,2025-06-20,3931.83,ATIVO,Bloco B - Sala 310
APC Smart-UPS 1500VA,HARDWARE,Nobreak,HP Brasil Industria e Comercio,NO8NZ67U24,,2025-08-20,4181.98,ATIVO,Bloco A - Recepcao
Dell PowerEdge R650,HARDWARE,Servidor,Cisco do Brasil Ltda,SED8ZGHUFL,,2024-04-20,52669.13,ATIVO,Bloco A - Recepcao
Intelbras XNB 1400VA,HARDWARE,Nobreak,Samsung Eletronica da Amazonia,NO5FQ6YB4D,,2023-12-20,950.36,ATIVO,Anexo I - Sala 12
HP ProBook 450 G10,HARDWARE,Notebook,Dell Computadores do Brasil Ltda,NOZQBWGXKJ,,2025-02-20,6381.02,ATIVO,Anexo II - Sala 05
Motorola Edge 40,HARDWARE,Smartphone,HP Brasil Industria e Comercio,SMJ86AFBSP,,2023-09-20,2653.57,ATIVO,Datacenter - Rack 02
Cisco ISR 1111,HARDWARE,Roteador,Samsung Eletronica da Amazonia,RO5HURVHDR,,2023-04-20,8350.18,ATIVO,Anexo II - Sala 05
HP ProBook 450 G10,HARDWARE,Notebook,Intelbras S.A.,NOH9BRKU5A,,2025-05-20,5898.36,ATIVO,Bloco A - Recepcao
Samsung Galaxy S23,HARDWARE,Smartphone,Intelbras S.A.,SMFZEB28C2,,2025-04-20,4555.23,ATIVO,Bloco B - Almoxarifado
APC Smart-UPS 1500VA,HARDWARE,Nobreak,Intelbras S.A.,NOEYRGXJCY,,2023-03-20,3595.88,ATIVO,Home office
Cisco Catalyst 1000-24T,HARDWARE,Switch,Dell Computadores do Brasil Ltda,SW8MJE7CUN,,2025-08-20,4588.88,BAIXADO,Bloco B - Almoxarifado
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Intelbras S.A.,SE38SCNUYD,,2025-03-20,47313.45,ATIVO,Bloco B - Almoxarifado
LG 24MK430H,HARDWARE,Monitor,Cisco do Brasil Ltda,MO362XM99Z,,2026-03-20,822.51,ATIVO,Bloco A - Sala 204
LG 24MK430H,HARDWARE,Monitor,APC by Schneider Electric Brasil,MOMUWGFWUV,,2023-06-20,820.75,ATIVO,Bloco A - Recepcao
Motorola Edge 40,HARDWARE,Smartphone,Lenovo Tecnologia Brasil Ltda,SM6Y6CY5TD,,2023-02-20,2479.21,EM_MANUTENCAO,Bloco B - Almoxarifado
Cisco ISR 1111,HARDWARE,Roteador,Intelbras S.A.,ROLBK6CJER,,2024-09-20,7580.70,ATIVO,Datacenter - Rack 02
Lenovo ThinkPad E14,HARDWARE,Notebook,Samsung Eletronica da Amazonia,NOK6ZZ6EJZ,,2024-12-20,5593.83,BAIXADO,Bloco B - Sala 302
Dell Vostro 3520,HARDWARE,Notebook,Positivo Tecnologia S.A.,NOBM92HSS6,,2023-05-20,3889.01,ATIVO,Anexo II - Sala 05
HP EliteDesk 800 G9,HARDWARE,Desktop,Intelbras S.A.,DEHJE6M6FW,,2022-11-20,4657.04,ATIVO,Datacenter - Rack 01
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Positivo Tecnologia S.A.,SEVLMZQHNJ,,2024-01-20,46088.02,ATIVO,Datacenter - Rack 01
HP LaserJet Pro M404dn,HARDWARE,Impressora,Samsung Eletronica da Amazonia,IMZ7JFEV38,,2024-06-20,2586.24,BAIXADO,Bloco A - Sala 204
Lenovo IdeaPad 3,HARDWARE,Notebook,Samsung Eletronica da Amazonia,NOWE67YJMJ,,2023-12-20,3515.43,EM_MANUTENCAO,Bloco A - Sala 101
Intelbras XNB 1400VA,HARDWARE,Nobreak,Cisco do Brasil Ltda,NOHKVLLWQY,,2026-03-20,921.34,ATIVO,Home office
Intelbras RF 1200,HARDWARE,Roteador,Dell Computadores do Brasil Ltda,ROTJVFLKLX,,2026-07-20,557.69,ATIVO,Home office
Samsung Galaxy Tab A8,HARDWARE,Tablet,Positivo Tecnologia S.A.,TASP4B9UV8,,2023-01-20,1270.70,ATIVO,Anexo II - Sala 05
HP ProBook 450 G10,HARDWARE,Notebook,HP Brasil Industria e Comercio,NODL6487PX,,2024-12-20,6303.19,BAIXADO,Bloco B - Almoxarifado
Samsung Galaxy Tab S9,HARDWARE,Tablet,Lenovo Tecnologia Brasil Ltda,TAY3JZGWR7,,2025-03-20,4050.40,ATIVO,Bloco A - Recepcao
Dell Vostro 3520,HARDWARE,Notebook,Positivo Tecnologia S.A.,NODU24RLWW,,2025-10-20,4098.29,ATIVO,Datacenter - Rack 01
Cisco Catalyst 1000-24T,HARDWARE,Switch,Positivo Tecnologia S.A.,SW9V9BF37R,,2023-07-20,4051.72,ATIVO,Bloco A - Sala 101
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Intelbras S.A.,SE98UAG5JS,,2024-07-20,50326.90,ATIVO,Anexo I - Sala 12
Lenovo ThinkPad E14,HARDWARE,Notebook,HP Brasil Industria e Comercio,NONZUE26TH,,2026-02-20,5262.50,ATIVO,Bloco B - Almoxarifado
Intelbras RF 1200,HARDWARE,Roteador,Intelbras S.A.,ROZKN3CCCJ,,2024-02-20,622.88,ATIVO,Bloco A - Recepcao
Samsung SL-M4020ND,HARDWARE,Impressora,Cisco do Brasil Ltda,IMJWWL3VX9,,2024-02-20,2259.14,BAIXADO,Bloco B - Almoxarifado
Dell PowerEdge T350,HARDWARE,Servidor,APC by Schneider Electric Brasil,SEH4VB8SQD,,2025-10-20,21122.13,ATIVO,Deposito de TI
Samsung SL-M4020ND,HARDWARE,Impressora,Intelbras S.A.,IM2KRCHNB6,,2024-06-20,1924.32,ATIVO,Deposito de TI
HP EliteDesk 800 G9,HARDWARE,Desktop,Intelbras S.A.,DE48DJPW82,,2025-09-20,5149.66,BAIXADO,Datacenter - Rack 01
Dell PowerEdge T350,HARDWARE,Servidor,Cisco do Brasil Ltda,SEYS8NRTVQ,,2025-02-20,22032.70,ATIVO,Deposito de TI
Motorola Edge 40,HARDWARE,Smartphone,Samsung Eletronica da Amazonia,SM9W8YTUH2,,2024-10-20,2661.85,BAIXADO,Bloco A - Recepcao
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Positivo Tecnologia S.A.,SECUFY6S8P,,2023-10-20,49143.74,ATIVO,Datacenter - Rack 01
Motorola Edge 40,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,SMTJGRRDQQ,,2026-02-20,2350.06,ATIVO,Deposito de TI
Intelbras SG 2404 MR,HARDWARE,Switch,Cisco do Brasil Ltda,SWGJAL488N,,2019-05-20,1327.90,ATIVO,Bloco A - Sala 101
Samsung Galaxy Tab A8,HARDWARE,Tablet,APC by Schneider Electric Brasil,TAFQCM4MC3,,2025-09-20,1436.22,ATIVO,Bloco B - Sala 310
Lenovo ThinkPad E14,HARDWARE,Notebook,APC by Schneider Electric Brasil,NOAVGXU79J,,2025-03-20,5001.88,ATIVO,Bloco A - Sala 204
Dell PowerEdge T350,HARDWARE,Servidor,HP Brasil Industria e Comercio,SEL7SMAXUN,,2023-05-20,22794.98,ATIVO,Anexo I - Sala 12
Intelbras XNB 1400VA,HARDWARE,Nobreak,Intelbras S.A.,NO5WF3GMJ8,,2025-05-20,864.01,BAIXADO,Anexo I - Sala 12
Positivo Master D2300,HARDWARE,Desktop,Dell Computadores do Brasil Ltda,DE6TXVASZR,,2023-02-20,3088.47,ATIVO,Bloco B - Sala 310
Dell OptiPlex 7010,HARDWARE,Desktop,APC by Schneider Electric Brasil,DE3VHUZQQJ,,2025-11-20,4748.14,ATIVO,Datacenter - Rack 02
Dell P2422H 24,HARDWARE,Monitor,Lenovo Tecnologia Brasil Ltda,MO48PRF6ZE,,2026-05-20,1186.80,BAIXADO,Datacenter - Rack 01
HP EliteDesk 800 G9,HARDWARE,Desktop,APC by Schneider Electric Brasil,DEKLW6HP9F,,2026-05-20,5141.88,BAIXADO,Datacenter - Rack 01
LG 24MK430H,HARDWARE,Monitor,Positivo Tecnologia S.A.,MO7D7VB3SA,,2023-07-20,700.07,ATIVO,Anexo I - Sala 12
Dell P2422H 24,HARDWARE,Monitor,HP Brasil Industria e Comercio,MOEDE8CU4M,,2023-03-20,1226.28,ATIVO,Home office
LG 24MK430H,HARDWARE,Monitor,Lenovo Tecnologia Brasil Ltda,MOZ2622FJY,,2025-09-20,872.26,ATIVO,Anexo I - Sala 12
Cisco ISR 1111,HARDWARE,Roteador,Positivo Tecnologia S.A.,ROJQABV752,,2025-05-20,7726.29,ATIVO,Bloco A - Recepcao
Dell PowerEdge R650,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SENHC4BRPE,,2023-06-20,42626.80,ATIVO,Datacenter - Rack 02
Samsung Galaxy S23,HARDWARE,Smartphone,HP Brasil Industria e Comercio,SMDRC36QPD,,2023-12-20,4809.27,ATIVO,Bloco B - Sala 302
Intelbras XNB 1400VA,HARDWARE,Nobreak,Cisco do Brasil Ltda,NOWWRVKQ4V,,2026-05-20,993.34,ATIVO,Datacenter - Rack 02
Samsung Galaxy Tab S9,HARDWARE,Tablet,Samsung Eletronica da Amazonia,TAM59DY2W4,,2025-11-20,3903.09,ATIVO,Bloco A - Recepcao
Samsung Galaxy Tab A8,HARDWARE,Tablet,Samsung Eletronica da Amazonia,TA8RQVK7D4,,2021-03-20,1309.36,ATIVO,Anexo I - Sala 12
Positivo Master D2300,HARDWARE,Desktop,Dell Computadores do Brasil Ltda,DESPXF6ZFN,,2025-03-20,3299.77,ATIVO,Datacenter - Rack 02
Samsung SL-M4020ND,HARDWARE,Impressora,Dell Computadores do Brasil Ltda,IMCENP8PXV,,2025-07-20,2320.33,ATIVO,Deposito de TI
Dell Vostro 3520,HARDWARE,Notebook,APC by Schneider Electric Brasil,NO8RP3RWU2,,2023-10-20,4246.34,ATIVO,Bloco B - Sala 310
Dell PowerEdge R650,HARDWARE,Servidor,Intelbras S.A.,SEZ97G8WPZ,,2024-06-20,42766.64,ATIVO,Bloco B - Sala 302
Samsung Galaxy Tab S9,HARDWARE,Tablet,Positivo Tecnologia S.A.,TAKBS4UKNX,,2024-08-20,4168.67,ATIVO,Bloco B - Sala 302
Intelbras SG 2404 MR,HARDWARE,Switch,HP Brasil Industria e Comercio,SWXS997LYL,,2021-03-20,1415.64,ATIVO,Bloco A - Recepcao
Intelbras RF 1200,HARDWARE,Roteador,Lenovo Tecnologia Brasil Ltda,RODCEDA4JQ,,2022-11-20,568.07,ATIVO,Bloco B - Sala 302
Cisco ISR 1111,HARDWARE,Roteador,Dell Computadores do Brasil Ltda,RO7ZD89BA4,,2026-07-20,7855.07,BAIXADO,Bloco B - Sala 310
Intelbras RF 1200,HARDWARE,Roteador,Positivo Tecnologia S.A.,ROUB5MGGKR,,2023-05-20,623.94,ATIVO,Bloco B - Almoxarifado
Dell PowerEdge R650,HARDWARE,Servidor,Lenovo Tecnologia Brasil Ltda,SE3FZ37RQV,,2023-03-20,53664.09,ATIVO,Home office
Samsung Galaxy Tab A8,HARDWARE,Tablet,HP Brasil Industria e Comercio,TACF3228DA,,2026-03-20,1299.96,ATIVO,Anexo I - Sala 12
