nome,tipo,categoria,fornecedor,numero_serie,chave_licenca,data_aquisicao,valor_compra,status,localizacao
Samsung Galaxy Tab A8,HARDWARE,Tablet,Dell Computadores do Brasil Ltda,IMKK6U26NP,,2024-12-20,1247.93,ATIVO,Home office
HP ProLiant DL380 Gen10,HARDWARE,Servidor,Samsung Eletronica da Amazonia,IMYFA3JUDZ,,2023-09-20,56866.15,ATIVO,Bloco A - Sala 101
Motorola Edge 40,HARDWARE,Smartphone,Intelbras S.A.,IMHUBR53W2,,2024-07-20,2343.15,ATIVO,Datacenter - Rack 01
Webcam Logitech C920,HARDWARE,Periferico,TechSupri Distribuidora de TI Ltda,ERCJG2LB9F,,2026-06-20,450.00,ATIVO,Bloco A - Recepcao
HP EliteDesk 800 G9,HARDWARE,Desktop,HP Brasil Industria e Comercio,IM8JN2Z4KU,,2025-12-20,4819.65,ATIVO,Bloco A - Sala 204
Samsung Galaxy A54,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,IMK95JFJ47,,2024-05-20,1946.83,ATIVO,Anexo II - Sala 05
Cisco ISR 1111,HARDWARE,Roteador,Samsung Eletronica da Amazonia,IM62YQM5A9,,2025-05-20,8130.92,ATIVO,Bloco B - Sala 310
LG 24MK430H,HARDWARE,Monitor,Intelbras S.A.,IMCC8ZH8FK,,2023-11-20,855.44,ATIVO,Bloco B - Sala 310
Cisco Catalyst 1000-24T,HARDWARE,Switch,Lenovo Tecnologia Brasil Ltda,IMFR8EVDXA,,2024-02-20,4161.39,ATIVO,Anexo II - Sala 05
HP LaserJet Pro M404dn,HARDWARE,Impressora,Intelbras S.A.,IM4YUULCVS,,2026-05-20,2462.06,ATIVO,Datacenter - Rack 02
Dell OptiPlex 7010,HARDWARE,Desktop,Dell Computadores do Brasil Ltda,IMUBU9FJET,,2025-04-20,4447.24,ATIVO,Bloco B - Sala 310
Dell PowerEdge R650,HARDWARE,Servidor,Cisco do Brasil Ltda,IMAHMK6ZMS,,2025-05-20,47855.22,ATIVO,Datacenter - Rack 01
Lenovo ThinkPad E14,HARDWARE,Notebook,Intelbras S.A.,IMFKK942R6,,2025-10-20,5087.73,ATIVO,Deposito de TI
Intelbras XNB 1400VA,HARDWARE,Nobreak,Intelbras S.A.,IMDSHDL738,,2025-01-20,975.35,ATIVO,Datacenter - Rack 01
Samsung Galaxy A54,HARDWARE,Smartphone,Samsung Eletronica da Amazonia,ERAAMFU48J,,14/03/2025,1900.00,ATIVO,Home office
Positivo Master D2300,HARDWARE,Desktop,Samsung Eletronica da Amazonia,IM28SK5AU6,,2024-08-20,3521.38,ATIVO,Datacenter - Rack 01
Samsung Galaxy S23,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,IMGY5TXTTG,,2025-04-20,4432.74,ATIVO,Anexo I - Sala 12
Cisco Catalyst 1000-24T,HARDWARE,Switch,Positivo Tecnologia S.A.,IMNXMWAAEA,,2024-06-20,3862.07,ATIVO,Bloco A - Sala 204
Samsung Galaxy S23,HARDWARE,Smartphone,APC by Schneider Electric Brasil,IMYQUSNCBF,,2026-05-20,4677.11,ATIVO,Home office
Intelbras XNB 1400VA,HARDWARE,Nobreak,Positivo Tecnologia S.A.,IMHHFJ2MHM,,2025-04-20,939.74,ATIVO,Home office
HP ProBook 450 G10,HARDWARE,Notebook,APC by Schneider Electric Brasil,IMT5WSLETD,,2024-08-20,5670.76,ATIVO,Bloco A - Sala 101
Dell PowerEdge R650,HARDWARE,Servidor,Cisco do Brasil Ltda,IMM6E9N3M9,,2026-02-20,44581.18,ATIVO,Anexo I - Sala 12
HP EliteDesk 800 G9,HARDWARE,Desktop,Lenovo Tecnologia Brasil Ltda,IM6SGCEES6,,2026-07-20,5612.37,ATIVO,Bloco A - Recepcao
Samsung Galaxy A54,HARDWARE,Smartphone,Dell Computadores do Brasil Ltda,IMC2TKX3A9,,2024-02-20,1875.70,ATIVO,Deposito de TI
Samsung Galaxy Tab A8,HARDWARE,Tablet,Lenovo Tecnologia Brasil Ltda,IMQA28HYXV,,2024-07-20,1184.35,ATIVO,Home office
Nobreak APC Smart-UPS 1500VA,EQUIPAMENTO,Nobreak,APC by Schneider Electric Brasil,ERPKT64RMC,,2025-03-20,3900.00,ATIVO,Datacenter - Rack 01
HP ProBook 450 G10,HARDWARE,Notebook,Intelbras S.A.,IMXF7UNMC2,,2025-08-20,5566.69,ATIVO,Anexo I - Sala 12
Dell Vostro 3520,HARDWARE,Notebook,Intelbras S.A.,IM9F6NJCNB,,2025-05-20,4091.17,ATIVO,Bloco A - Sala 204
APC Smart-UPS 1500VA,HARDWARE,Nobreak,Cisco do Brasil Ltda,IM96BCXDXC,,2024-07-20,3602.19,ATIVO,Home office
Samsung Galaxy S23,HARDWARE,Smartphone,APC by Schneider Electric Brasil,IMKQECK9B8,,2026-06-20,4078.71,ATIVO,Home office
