identificador_ativo,matricula_responsavel,setor,data_inicio,data_fim,motivo
DE8LFUXFRV,MAT0030,Comercial,2026-04-08,2026-05-08,
DE8LFUXFRV,MAT0005,Financeiro,2026-05-08,,Desligamento do colaborador
DE8E74N293,MAT0034,Comercial,2025-11-30,2026-01-15,Substituicao de equipamento
DE8E74N293,MAT0028,Operacoes,2026-01-15,2026-08-25,Substituicao de equipamento
DE8E74N293,MAT0045,Operacoes,2026-08-25,,Remanejamento interno
ROW656L86S,MAT0051,Operacoes,2025-01-20,,
SWRT6EURTX,MAT0048,Tecnologia da Informacao,2023-10-30,,Entrega inicial
DE2KPE44X7,MAT0057,Comercial,2026-05-31,,Entrega inicial
MOB28AYV24,MAT0030,Comercial,2024-01-31,,Remanejamento interno
SWB2X3L7JB,MAT0024,Tecnologia da Informacao,2024-08-20,,Mudanca de setor
NO5J7MDS2W,MAT0036,Operacoes,2024-03-22,2026-04-17,Mudanca de setor
NO5J7MDS2W,MAT0009,Tecnologia da Informacao,2026-04-17,,Substituicao de equipamento
SE4SF8BDYQ,MAT0042,Recursos Humanos,2023-03-23,2024-08-23,
DENBKRJ8HP,MAT0049,Tecnologia da Informacao,2025-01-20,,
DEHLVGBV23,MAT0023,Operacoes,2026-04-30,2026-07-03,Remanejamento interno
DEHLVGBV23,MAT0044,Diretoria,2026-07-03,,Desligamento do colaborador
DEGVHCY5ZE,MAT0024,Tecnologia da Informacao,2026-08-22,,Substituicao de equipamento
NO5Z7K5MT8,MAT0034,Comercial,2024-06-05,,Entrega inicial
SEWRFT6R72,MAT0044,Diretoria,2026-08-06,2026-09-18,Remanejamento interno
DE9PYSXTTA,MAT0040,Operacoes,2026-04-03,2026-08-05,
DE9PYSXTTA,MAT0045,Operacoes,2026-08-05,2026-09-06,Mudanca de setor
DE9PYSXTTA,MAT0058,Operacoes,2026-09-06,,Desligamento do colaborador
SWR896BFUQ,MAT0058,Operacoes,2023-01-01,,Mudanca de setor
IMZ8Y5XY7T,MAT0007,Tecnologia da Informacao,2025-04-22,,Mudanca de setor
DEWHMNP8TU,MAT0032,Comercial,2025-08-24,,Mudanca de setor
DEVAJTCDUJ,MAT0041,Financeiro,2026-03-08,2026-04-12,Substituicao de equipamento
DEVAJTCDUJ,MAT0027,Marketing,2026-04-12,2026-06-14,Desligamento do colaborador
DEVAJTCDUJ,MAT0023,Operacoes,2026-06-14,,Desligamento do colaborador
SE886XMDS8,MAT0002,Operacoes,2026-05-10,,Substituicao de equipamento
IMDKKVFRH4,MAT0056,Operacoes,2023-11-20,,Mudanca de setor
SE5VDGPPSF,MAT0042,Recursos Humanos,2025-06-05,2025-12-23,Desligamento do colaborador
SE5VDGPPSF,MAT0038,Juridico,2025-12-23,,Substituicao de equipamento
DEA468UCQU,MAT0032,Comercial,2022-12-30,2026-05-28,
DEA468UCQU,MAT0045,Operacoes,2026-05-28,,Remanejamento interno
SMQSN5HQKT,MAT0030,Comercial,2026-05-04,2026-07-11,Remanejamento interno
SMQSN5HQKT,MAT0009,Tecnologia da Informacao,2026-07-11,,Substituicao de equipamento
IMU6H7V3T9,MAT0015,Recursos Humanos,2026-03-28,,Desligamento do colaborador
TAWSBFQBTC,MAT0050,Juridico,2024-02-29,2024-04-23,Mudanca de setor
SEM59F8Y4X,MAT0011,Marketing,2023-03-06,,Remanejamento interno
SE49U3C7FW,MAT0019,Juridico,2025-01-06,2025-08-10,Mudanca de setor
SE49U3C7FW,MAT0054,Diretoria,2025-08-10,2026-09-06,
SE49U3C7FW,MAT0058,Operacoes,2026-09-06,,
ROA74DNZ96,MAT0016,Marketing,2025-07-25,2025-10-22,Entrega inicial
ROA74DNZ96,MAT0021,Financeiro,2025-10-22,,Remanejamento interno
SE69HBRLVA,MAT0024,Tecnologia da Informacao,2026-03-28,2026-06-13,Mudanca de setor
DEJET4XTAU,MAT0043,Comercial,2023-07-21,2025-05-30,Substituicao de equipamento
DEJET4XTAU,MAT0010,Comercial,2025-05-30,,Substituicao de equipamento
SWK68YX27W,MAT0035,Financeiro,2025-02-20,,Substituicao de equipamento
DE4CW822K9,MAT0026,Financeiro,2025-12-20,,Desligamento do colaborador
SEG6G7AK4K,MAT0060,Marketing,2024-03-05,2025-02-25,Mudanca de setor
SEG6G7AK4K,MAT0001,Financeiro,2025-02-25,,
SE3FX2W9CE,MAT0022,Juridico,2023-05-06,,
DEF5GG6LVB,MAT0058,Operacoes,2024-12-20,,Substituicao de equipamento
MOZ5KR4MLM,MAT0043,Comercial,2023-06-07,2024-05-03,Remanejamento interno
MOZ5KR4MLM,MAT0047,Juridico,2024-05-03,2025-08-28,Substituicao de equipamento
MOZ5KR4MLM,MAT0045,Operacoes,2025-08-28,,Entrega inicial
SMR9KQ7S7S,MAT0009,Tecnologia da Informacao,2024-03-21,2026-03-15,Remanejamento interno
SMR9KQ7S7S,MAT0008,Comercial,2026-03-15,,Substituicao de equipamento
ROLE6YV5S7,MAT0040,Operacoes,2025-08-20,,Mudanca de setor
NOR2YUUB3T,MAT0021,Financeiro,2023-08-22,,Entrega inicial
NO9UQYQNSJ,MAT0038,Juridico,2023-04-26,2026-05-08,Mudanca de setor
NO9UQYQNSJ,MAT0051,Operacoes,2026-05-08,,Substituicao de equipamento
NO6CZJFUW4,MAT0035,Financeiro,2025-08-22,2026-04-26,Desligamento do colaborador
MOTLS8UXH7,MAT0033,Operacoes,2025-11-22,2026-07-11,Mudanca de setor
MOTLS8UXH7,MAT0032,Comercial,2026-07-11,,Substituicao de equipamento
SM3ZF3ASH7,MAT0004,Financeiro,2024-03-20,,
IM2ZGQ8BWQ,MAT0046,Comercial,2023-04-24,,Desligamento do colaborador
SE4HJCCV9H,MAT0001,Financeiro,2025-05-31,,Substituicao de equipamento
MO7Z4K4G94,MAT0029,Juridico,2026-06-29,,Remanejamento interno
SW6RZGZYD3,MAT0048,Tecnologia da Informacao,2025-09-03,,Desligamento do colaborador
NOPBDXRJPE,MAT0011,Marketing,2023-07-29,2026-01-12,
NOPBDXRJPE,MAT0058,Operacoes,2026-01-12,,Desligamento do colaborador
SEKATKJSMH,MAT0039,Comercial,2026-01-07,2026-02-28,Mudanca de setor
IMWBMSDJ4H,MAT0056,Operacoes,2024-03-06,,Remanejamento interno
ROG6QCV7BD,MAT0060,Marketing,2024-07-22,2026-04-17,Desligamento do colaborador
ROG6QCV7BD,MAT0006,Marketing,2026-04-17,2026-05-17,Desligamento do colaborador
ROG6QCV7BD,MAT0041,Financeiro,2026-05-17,,Substituicao de equipamento
SW6EFWKEJT,MAT0030,Comercial,2024-09-06,,
SE75GHP56Q,MAT0013,Operacoes,2024-11-24,2025-07-02,Desligamento do colaborador
SE75GHP56Q,MAT0019,Juridico,2025-07-02,,Remanejamento interno
MOGW5WSZK8,MAT0053,Juridico,2026-03-20,,Substituicao de equipamento
MOGZJDXH4Y,MAT0032,Comercial,2022-10-29,2026-01-16,
MOGZJDXH4Y,MAT0030,Comercial,2026-01-16,2026-01-22,Entrega inicial
IMVYGPK8QG,MAT0017,Operacoes,2023-09-24,2025-06-29,
IMVYGPK8QG,MAT0054,Diretoria,2025-06-29,,
IMQ5BTBMTV,MAT0043,Comercial,2024-11-09,,Substituicao de equipamento
IM3EKBFP24,MAT0059,Marketing,2024-12-05,,
TAWFDKLDFT,MAT0008,Comercial,2023-02-20,2024-10-09,Desligamento do colaborador
TAWFDKLDFT,MAT0005,Financeiro,2024-10-09,,Remanejamento interno
SW4TPHY5HU,MAT0031,Financeiro,2023-12-08,2025-08-08,Desligamento do colaborador
SW4TPHY5HU,MAT0056,Operacoes,2025-08-08,,Substituicao de equipamento
DE3DAPVPJS,MAT0045,Operacoes,2025-01-04,2025-06-05,Substituicao de equipamento
DE3DAPVPJS,MAT0033,Operacoes,2025-06-05,,
TA5MJ2QYE3,MAT0011,Marketing,2024-05-28,2026-02-12,Entrega inicial
TA5MJ2QYE3,MAT0010,Comercial,2026-02-12,,Substituicao de equipamento
SE534UH3BW,MAT0023,Operacoes,2023-05-24,,Mudanca de setor
MOF5GR53F3,MAT0027,Marketing,2022-10-01,,
TALEHNYYKR,MAT0004,Financeiro,2025-12-01,2026-03-15,Substituicao de equipamento
TALEHNYYKR,MAT0034,Comercial,2026-03-15,2026-05-03,Remanejamento interno
TALEHNYYKR,MAT0013,Operacoes,2026-05-03,2026-08-21,Mudanca de setor
SMVTDYEV76,MAT0049,Tecnologia da Informacao,2026-06-08,2026-07-29,Remanejamento interno
SMVTDYEV76,MAT0021,Financeiro,2026-07-29,2026-09-07,
NOF27C6NW8,MAT0044,Diretoria,2026-05-28,2026-08-12,Entrega inicial
NOF27C6NW8,MAT0035,Financeiro,2026-08-12,2026-09-15,Substituicao de equipamento
SMFMCR66LZ,MAT0009,Tecnologia da Informacao,2025-02-20,2026-09-03,Substituicao de equipamento
SMFMCR66LZ,MAT0024,Tecnologia da Informacao,2026-09-03,,Desligamento do colaborador
SMDXEXG2US,MAT0007,Tecnologia da Informacao,2024-11-25,,Mudanca de setor
NOYV3JFV2X,MAT0054,Diretoria,2023-02-27,,Mudanca de setor
SMF5ZBZVMP,MAT0040,Operacoes,2024-02-06,2026-02-11,Remanejamento interno
SMF5ZBZVMP,MAT0055,Diretoria,2026-02-11,,Remanejamento interno
NOEUGCXJ2K,MAT0027,Marketing,2025-09-23,2026-06-15,Entrega inicial
NOEUGCXJ2K,MAT0008,Comercial,2026-06-15,,Mudanca de setor
NOL6C4ZR6U,MAT0023,Operacoes,2025-07-05,2026-01-10,
NOL6C4ZR6U,MAT0024,Tecnologia da Informacao,2026-01-10,2026-03-16,Desligamento do colaborador
NOL6C4ZR6U,MAT0057,Comercial,2026-03-16,,Remanejamento interno
NO8NZ67U24,MAT0012,Diretoria,2025-08-30,,
SED8ZGHUFL,MAT0015,Recursos Humanos,2024-04-23,,Mudanca de setor
NO5FQ6YB4D,MAT0045,Operacoes,2023-12-24,2024-09-11,Substituicao de equipamento
NO5FQ6YB4D,MAT0009,Tecnologia da Informacao,2024-09-11,,Mudanca de setor
NOZQBWGXKJ,MAT0028,Operacoes,2025-02-22,,
SMJ86AFBSP,MAT0005,Financeiro,2023-09-23,2023-11-30,Desligamento do colaborador
SMJ86AFBSP,MAT0049,Tecnologia da Informacao,2023-11-30,,Desligamento do colaborador
NOH9BRKU5A,MAT0003,Comercial,2025-05-23,,
SMFZEB28C2,MAT0031,Financeiro,2025-06-20,,Entrega inicial
NOEYRGXJCY,MAT0005,Financeiro,2023-03-21,2024-12-27,
NOEYRGXJCY,MAT0001,Financeiro,2024-12-27,2025-05-04,Entrega inicial
NOEYRGXJCY,MAT0059,Marketing,2025-05-04,,Remanejamento interno
SW8MJE7CUN,MAT0012,Diretoria,2025-08-26,2026-03-15,Substituicao de equipamento
SE38SCNUYD,MAT0055,Diretoria,2025-03-24,,
MO362XM99Z,MAT0023,Operacoes,2026-04-07,2026-08-05,Mudanca de setor
MO362XM99Z,MAT0055,Diretoria,2026-08-05,2026-09-20,
MO362XM99Z,MAT0040,Operacoes,2026-09-20,,Mudanca de setor
MOMUWGFWUV,MAT0007,Tecnologia da Informacao,2023-06-22,,Remanejamento interno
SM6Y6CY5TD,MAT0014,Tecnologia da Informacao,2023-03-08,2024-05-03,Substituicao de equipamento
SM6Y6CY5TD,MAT0011,Marketing,2024-05-03,,Remanejamento interno
ROLBK6CJER,MAT0060,Marketing,2024-09-23,,Mudanca de setor
NOK6ZZ6EJZ,MAT0024,Tecnologia da Informacao,2025-01-04,2025-05-08,Desligamento do colaborador
NOK6ZZ6EJZ,MAT0044,Diretoria,2025-05-08,2025-07-04,Mudanca de setor
NOK6ZZ6EJZ,MAT0054,Diretoria,2025-07-04,2025-09-17,Desligamento do colaborador
NOBM92HSS6,MAT0015,Recursos Humanos,2023-06-05,,Desligamento do colaborador
DEHJE6M6FW,MAT0008,Comercial,2022-11-30,,Desligamento do colaborador
SEVLMZQHNJ,MAT0032,Comercial,2024-01-24,,Substituicao de equipamento
IMZ7JFEV38,MAT0047,Juridico,2024-07-07,2024-09-16,Entrega inicial
IMZ7JFEV38,MAT0021,Financeiro,2024-09-16,2026-03-05,Entrega inicial
NOWE67YJMJ,MAT0039,Comercial,2024-01-03,,
NOHKVLLWQY,MAT0015,Recursos Humanos,2026-04-03,,Remanejamento interno
ROTJVFLKLX,MAT0013,Operacoes,2026-08-02,,Entrega inicial
TASP4B9UV8,MAT0044,Diretoria,2023-02-04,2025-03-27,Mudanca de setor
TASP4B9UV8,MAT0001,Financeiro,2025-03-27,2026-09-11,
TASP4B9UV8,MAT0007,Tecnologia da Informacao,2026-09-11,,Desligamento do colaborador
NODL6487PX,MAT0008,Comercial,2024-12-22,2025-02-26,Desligamento do colaborador
TAY3JZGWR7,MAT0007,Tecnologia da Informacao,2025-04-07,,
NODU24RLWW,MAT0024,Tecnologia da Informacao,2025-10-20,,Mudanca de setor
SW9V9BF37R,MAT0055,Diretoria,2023-08-08,,Desligamento do colaborador
SE98UAG5JS,MAT0047,Juridico,2024-08-02,,Desligamento do colaborador
NONZUE26TH,MAT0038,Juridico,2026-03-10,,Substituicao de equipamento
ROZKN3CCCJ,MAT0026,Financeiro,2024-03-11,2025-04-09,Desligamento do colaborador
ROZKN3CCCJ,MAT0043,Comercial,2025-04-09,,Remanejamento interno
IMJWWL3VX9,MAT0033,Operacoes,2024-03-06,2024-08-25,Mudanca de setor
IMJWWL3VX9,MAT0050,Juridico,2024-08-25,2025-05-14,Entrega inicial
IMJWWL3VX9,MAT0008,Comercial,2025-05-14,2025-06-21,Desligamento do colaborador
SEH4VB8SQD,MAT0009,Tecnologia da Informacao,2025-11-09,,Entrega inicial
IM2KRCHNB6,MAT0054,Diretoria,2024-06-21,,Entrega inicial
DE48DJPW82,MAT0012,Diretoria,2025-09-20,2026-01-25,Remanejamento interno
SEYS8NRTVQ,MAT0020,Financeiro,2025-02-24,2025-07-02,Entrega inicial
SEYS8NRTVQ,MAT0043,Comercial,2025-07-02,,Remanejamento interno
SM9W8YTUH2,MAT0013,Operacoes,2024-11-03,2025-02-16,
SM9W8YTUH2,MAT0032,Comercial,2025-02-16,2025-05-19,Remanejamento interno
SECUFY6S8P,MAT0052,Comercial,2023-10-30,,Remanejamento interno
SMTJGRRDQQ,MAT0028,Operacoes,2026-02-21,,Entrega inicial
SWGJAL488N,MAT0055,Diretoria,2019-05-30,,Desligamento do colaborador
TAFQCM4MC3,MAT0003,Comercial,2025-09-20,,Entrega inicial
NOAVGXU79J,MAT0057,Comercial,2025-03-29,,
SEL7SMAXUN,MAT0009,Tecnologia da Informacao,2023-06-02,,Substituicao de equipamento
NO5WF3GMJ8,MAT0049,Tecnologia da Informacao,2025-06-04,2025-08-29,Remanejamento interno
NO5WF3GMJ8,MAT0044,Diretoria,2025-08-29,2026-01-31,
DE6TXVASZR,MAT0037,Juridico,2023-03-09,2025-11-25,Desligamento do colaborador
DE6TXVASZR,MAT0036,Operacoes,2025-11-25,,Mudanca de setor
DE3VHUZQQJ,MAT0017,Operacoes,2025-12-02,,Desligamento do colaborador
MO48PRF6ZE,MAT0040,Operacoes,2026-06-01,2026-08-15,Substituicao de equipamento
MO48PRF6ZE,MAT0021,Financeiro,2026-08-15,2026-09-14,Entrega inicial
DEKLW6HP9F,MAT0054,Diretoria,2026-05-24,2026-08-08,Substituicao de equipamento
DEKLW6HP9F,MAT0052,Comercial,2026-08-08,2026-09-07,
MO7D7VB3SA,MAT0028,Operacoes,2023-07-23,,Substituicao de equipamento
MOEDE8CU4M,MAT0023,Operacoes,2023-04-02,2023-08-25,
MOEDE8CU4M,MAT0016,Marketing,2023-08-25,2025-02-12,Mudanca de setor
MOEDE8CU4M,MAT0042,Recursos Humanos,2025-02-12,,Substituicao de equipamento
MOZ2622FJY,MAT0056,Operacoes,2025-09-22,2026-03-27,Entrega inicial
MOZ2622FJY,MAT0022,Juridico,2026-03-27,,Mudanca de setor
ROJQABV752,MAT0003,Comercial,2025-05-30,,Desligamento do colaborador
SENHC4BRPE,MAT0037,Juridico,2023-07-03,2026-06-21,Desligamento do colaborador
SENHC4BRPE,MAT0018,Comercial,2026-06-21,,Entrega inicial
SMDRC36QPD,MAT0002,Operacoes,2024-01-07,2024-12-26,Desligamento do colaborador
SMDRC36QPD,MAT0037,Juridico,2024-12-26,,Desligamento do colaborador
NOWWRVKQ4V,MAT0052,Comercial,2026-05-20,,Desligamento do colaborador
TA8RQVK7D4,MAT0022,Juridico,2021-03-26,,Desligamento do colaborador
DESPXF6ZFN,MAT0011,Marketing,2025-03-30,,Remanejamento interno
IMCENP8PXV,MAT0013,Operacoes,2025-08-02,,Desligamento do colaborador
NO8RP3RWU2,MAT0054,Diretoria,2023-10-22,2025-02-01,Substituicao de equipamento
NO8RP3RWU2,MAT0017,Operacoes,2025-02-01,,Entrega inicial
SEZ97G8WPZ,MAT0026,Financeiro,2024-07-08,,Mudanca de setor
TAKBS4UKNX,MAT0046,Comercial,2025-05-20,,Remanejamento interno
SWXS997LYL,MAT0018,Comercial,2021-03-30,,Entrega inicial
RODCEDA4JQ,MAT0031,Financeiro,2022-12-06,2025-05-28,Mudanca de setor
RODCEDA4JQ,MAT0023,Operacoes,2025-05-28,,Entrega inicial
RO7ZD89BA4,MAT0033,Operacoes,2026-07-29,2026-09-06,Desligamento do colaborador
RO7ZD89BA4,MAT0043,Comercial,2026-09-06,2026-09-18,Mudanca de setor
ROUB5MGGKR,MAT0017,Operacoes,2024-07-20,,Remanejamento interno
SE3FZ37RQV,MAT0012,Diretoria,2023-04-06,,Entrega inicial
TACF3228DA,MAT0056,Operacoes,2026-04-05,2026-06-21,Remanejamento interno
TACF3228DA,MAT0032,Comercial,2026-06-21,,Mudanca de setor
SMXGCQP8TC,MAT0018,Comercial,2023-02-03,2026-02-28,Remanejamento interno
SMXGCQP8TC,MAT0055,Diretoria,2026-02-28,,Desligamento do colaborador
IMCMWBPK3E,MAT0034,Comercial,2025-10-20,,Mudanca de setor
NO2X2JFYDG,MAT0016,Marketing,2025-06-24,,Mudanca de setor
IM3WBT69QY,MAT0055,Diretoria,2024-05-29,2025-09-16,Desligamento do colaborador
IM3WBT69QY,MAT0021,Financeiro,2025-09-16,,Entrega inicial
SM2FUREFTK,MAT0018,Comercial,2022-12-03,2024-08-11,
SM2FUREFTK,MAT0011,Marketing,2024-08-11,,Substituicao de equipamento
TA2WZGFAV6,MAT0026,Financeiro,2025-03-27,2025-12-26,Entrega inicial
TA2WZGFAV6,MAT0010,Comercial,2025-12-26,,Mudanca de setor
DE564GBFYF,MAT0030,Comercial,2024-08-29,,Desligamento do colaborador
MOFRL2LJTV,MAT0028,Operacoes,2021-04-02,2024-12-16,Entrega inicial
MOFRL2LJTV,MAT0013,Operacoes,2024-12-16,,Mudanca de setor
MOT4V8EZSR,MAT0017,Operacoes,2023-06-20,,Substituicao de equipamento
NOJVA3X2X6,MAT0042,Recursos Humanos,2024-05-25,2024-08-06,
NOJVA3X2X6,MAT0032,Comercial,2024-08-06,,Entrega inicial
IMJVWN8WM3,MAT0021,Financeiro,2025-02-22,,Remanejamento interno
SWRW2T3ZHN,MAT0058,Operacoes,2023-01-22,,Desligamento do colaborador
TA7P6UE49J,MAT0026,Financeiro,2025-05-22,2026-08-24,
TA7P6UE49J,MAT0054,Diretoria,2026-08-24,2026-09-20,Mudanca de setor
TA7P6UE49J,MAT0008,Comercial,2026-09-20,,Remanejamento interno
SM52E6834C,MAT0034,Comercial,2022-12-23,2026-04-24,Remanejamento interno
SM52E6834C,MAT0017,Operacoes,2026-04-24,,Desligamento do colaborador
DEQ6Z37KYB,MAT0039,Comercial,2021-03-27,2022-01-01,Substituicao de equipamento
DEQ6Z37KYB,MAT0022,Juridico,2022-01-01,2025-05-11,
DEQ6Z37KYB,MAT0025,Diretoria,2025-05-11,,
NOKYVX7P8Y,MAT0014,Tecnologia da Informacao,2026-03-05,2026-05-10,Entrega inicial
NOKYVX7P8Y,MAT0012,Diretoria,2026-05-10,,Mudanca de setor
SWWEVCHBXG,MAT0027,Marketing,2022-10-04,2024-04-06,Remanejamento interno
SWWEVCHBXG,MAT0004,Financeiro,2024-04-06,2025-09-20,Remanejamento interno
SWWEVCHBXG,MAT0024,Tecnologia da Informacao,2025-09-20,,
DE652APPTE,MAT0035,Financeiro,2024-09-20,,Desligamento do colaborador
DE7HS9W23H,MAT0018,Comercial,2024-10-27,,Mudanca de setor
DEVFJWHRVH,MAT0046,Comercial,2024-09-20,,Substituicao de equipamento
MO4J25M9ML,MAT0042,Recursos Humanos,2025-02-20,2025-04-26,
MO4J25M9ML,MAT0043,Comercial,2025-04-26,,Entrega inicial
SM69LFBQUC,MAT0017,Operacoes,2025-06-27,2026-05-05,Desligamento do colaborador
SM69LFBQUC,MAT0020,Financeiro,2026-05-05,,
TA79HHTZC6,MAT0058,Operacoes,2024-05-31,2024-11-01,Remanejamento interno
TA79HHTZC6,MAT0056,Operacoes,2024-11-01,2025-04-01,Desligamento do colaborador
TA79HHTZC6,MAT0025,Diretoria,2025-04-01,2025-05-05,Desligamento do colaborador
TARVC6SYF6,MAT0020,Financeiro,2022-02-28,2022-09-30,Mudanca de setor
TARVC6SYF6,MAT0020,Financeiro,2022-09-30,2024-01-03,Mudanca de setor
TARVC6SYF6,MAT0059,Marketing,2024-01-03,,Desligamento do colaborador
IMY5LJPPDY,MAT0027,Marketing,2020-04-09,2020-09-24,Substituicao de equipamento
IMY5LJPPDY,MAT0056,Operacoes,2020-09-24,,Entrega inicial
SMUUTGJ4DT,MAT0031,Financeiro,2022-07-05,2024-11-26,Substituicao de equipamento
SMUUTGJ4DT,MAT0046,Comercial,2024-11-26,,Desligamento do colaborador
NOWR39KT42,MAT0053,Juridico,2026-04-23,2026-06-12,
NOWR39KT42,MAT0017,Operacoes,2026-06-12,2026-09-14,Entrega inicial
NOWR39KT42,MAT0023,Operacoes,2026-09-14,,Desligamento do colaborador
MOTZ79WAF7,MAT0048,Tecnologia da Informacao,2026-05-07,2026-07-17,Desligamento do colaborador
MOTZ79WAF7,MAT0045,Operacoes,2026-07-17,2026-08-16,Entrega inicial
DE5P9TWUXJ,MAT0041,Financeiro,2024-11-25,2026-03-24,
DE5P9TWUXJ,MAT0009,Tecnologia da Informacao,2026-03-24,,Entrega inicial
NOG7BHL67A,MAT0041,Financeiro,2025-08-20,,Substituicao de equipamento
SMVLTFZSFZ,MAT0008,Comercial,2026-05-22,,Mudanca de setor
TAQ5FGAP8E,MAT0049,Tecnologia da Informacao,2023-08-09,,Mudanca de setor
SWAAXH5J8E,MAT0051,Operacoes,2024-09-02,2025-08-25,Desligamento do colaborador
SWAAXH5J8E,MAT0031,Financeiro,2025-08-25,,
NOWZVJ2JKE,MAT0044,Diretoria,2023-05-25,2024-05-24,Substituicao de equipamento
MOPK46PFGJ,MAT0024,Tecnologia da Informacao,2020-01-02,,Mudanca de setor
MOWJRTFRUB,MAT0054,Diretoria,2025-08-01,,Remanejamento interno
DE3UDR92HR,MAT0060,Marketing,2023-04-20,,Remanejamento interno
NOZWJ24ZM8,MAT0015,Recursos Humanos,2026-08-09,2026-09-09,Desligamento do colaborador
NOZWJ24ZM8,MAT0013,Operacoes,2026-09-09,2026-09-18,
SEPCD3U453,MAT0026,Financeiro,2023-04-21,2025-10-15,Remanejamento interno
SEPCD3U453,MAT0017,Operacoes,2025-10-15,,Mudanca de setor
NOTFVFPKW3,MAT0011,Marketing,2019-12-31,,Remanejamento interno
DEDRF5H7DV,MAT0028,Operacoes,2026-02-05,,Desligamento do colaborador
SMAL9YSLZJ,MAT0008,Comercial,2022-11-04,2024-03-07,
SMAL9YSLZJ,MAT0014,Tecnologia da Informacao,2024-03-07,,Mudanca de setor
SE5TESE97Z,MAT0019,Juridico,2024-01-28,2026-04-01,Desligamento do colaborador
SE5TESE97Z,MAT0025,Diretoria,2026-04-01,2026-06-03,Desligamento do colaborador
SE5TESE97Z,MAT0055,Diretoria,2026-06-03,,Mudanca de setor
MOLSGHQACA,MAT0047,Juridico,2026-06-29,2026-09-10,Mudanca de setor
MOLSGHQACA,MAT0027,Marketing,2026-09-10,,Mudanca de setor
NOMC4QWR4W,MAT0002,Operacoes,2026-04-24,,Substituicao de equipamento
