software,numero_serie_ativo,data_vinculo,ativo_vinculo
Microsoft Windows 11 Pro,SED8ZGHUFL,2025-07-07,true
Microsoft Windows 11 Pro,SMF5ZBZVMP,2025-04-18,true
Microsoft Windows 11 Pro,SMR9KQ7S7S,2025-05-16,true
Microsoft Windows 11 Pro,NOHKVLLWQY,2026-06-02,true
Microsoft Windows 11 Pro,ROTJVFLKLX,2026-08-31,true
Microsoft Windows 11 Pro,DE5P9TWUXJ,2026-05-10,true
Microsoft Windows 11 Pro,SWFGJ3ED5J,2025-05-02,true
Microsoft Windows 11 Pro,NOBM92HSS6,2025-12-29,true
Microsoft Windows 11 Pro,NOLVCPWKFR,2024-11-17,true
Microsoft Windows 11 Pro,DEU948DFT2,2025-10-02,true
Microsoft Windows 11 Pro,NOG7BHL67A,2026-05-12,true
Microsoft Windows 11 Pro,IMCENP8PXV,2025-07-25,true
Microsoft Windows 11 Pro,TAWFDKLDFT,2025-03-14,true
Microsoft Windows 11 Pro,SMFMCR66LZ,2026-01-20,true
Microsoft Windows 11 Pro,SM2FUREFTK,2025-11-14,true
Microsoft Windows 11 Pro,NOCXERT9PJ,2025-12-06,true
Microsoft Windows 11 Pro,TACF3228DA,2026-04-29,true
Microsoft Windows 11 Pro,DEBTD8YQLG,2025-01-11,true
Microsoft Windows 11 Pro,DE2A2S7U59,2025-10-25,true
Microsoft Windows 11 Pro,DE9PYSXTTA,2026-08-04,true
Microsoft Windows 11 Pro,DEVAJTCDUJ,2026-06-07,true
Microsoft Windows 11 Pro,SMDXEXG2US,2026-03-24,true
Microsoft Windows 11 Pro,NODQ2YMMRW,2024-11-29,true
Microsoft Windows 11 Pro,DEQ6Z37KYB,2025-10-23,true
Microsoft Windows 11 Pro,MOT4V8EZSR,2025-04-19,true
Microsoft Windows 11 Pro,NOJVA3X2X6,2025-01-31,true
Microsoft Windows 11 Pro,SMXGCQP8TC,2025-04-18,true
Microsoft Windows 11 Pro,MOMUWGFWUV,2025-08-03,true
Microsoft Windows 11 Pro,NOEYRGXJCY,2025-12-06,true
Microsoft Windows 11 Pro,DE4CW822K9,2026-08-20,true
Microsoft Windows 11 Pro,DER49DKTFC,2025-03-01,true
Microsoft Windows 11 Pro,IMKRLM4BMX,2026-05-31,true
Microsoft Windows 11 Pro,DESPXF6ZFN,2026-01-31,true
Microsoft Windows 11 Pro,SE38SCNUYD,2025-10-13,true
Microsoft Windows 11 Pro,ROA74DNZ96,2026-04-03,true
Microsoft Windows 11 Pro,SWGJAL488N,2026-08-22,true
Microsoft Windows 11 Pro,DE2KPE44X7,2026-07-17,true
Microsoft Windows 11 Pro,SWJFXHC7DL,2025-06-29,true
Microsoft Windows 11 Pro,NOQJN3ZFSE,2026-06-10,true
Microsoft Windows 11 Pro,ROZKN3CCCJ,2024-09-27,true
Microsoft Windows 11 Pro,SWWEVCHBXG,2025-02-13,true
Microsoft Windows 11 Pro,SW4TPHY5HU,2025-12-20,true
Microsoft Windows 11 Pro,DE8E74N293,2025-12-22,true
Microsoft Windows 11 Pro,DEA468UCQU,2025-11-02,true
Microsoft Windows 11 Pro,SWRT6EURTX,2026-06-01,true
Microsoft Windows 11 Pro,IMY5LJPPDY,2025-05-30,true
Microsoft Windows 11 Pro,SWXS997LYL,2026-03-12,true
Microsoft Windows 11 Pro,IMU6H7V3T9,2026-06-12,true
Microsoft Windows 11 Pro,DEB2Y89YW2,2026-07-08,true
Microsoft Windows 11 Pro,DE67W4HYP6,2026-02-04,true
Microsoft SQL Server Standard,IM2KRCHNB6,2025-06-17,true
Microsoft SQL Server Standard,SEYS8NRTVQ,2026-04-21,true
Microsoft SQL Server Standard,IMCMWBPK3E,2026-02-24,true
Microsoft SQL Server Standard,SE3JV7WEA7,2026-06-04,true
Microsoft SQL Server Standard,MOLSGHQACA,2026-09-07,true
Microsoft SQL Server Standard,DE8E74N293,2026-06-29,true
Microsoft SQL Server Standard,IMVYGPK8QG,2026-04-02,true
Microsoft SQL Server Standard,DE652APPTE,2026-01-17,true
Microsoft SQL Server Standard,SEH4VB8SQD,2026-01-21,true
Microsoft SQL Server Standard,NOL6C4ZR6U,2026-06-12,true
Microsoft SQL Server Standard,SWAAXH5J8E,2026-07-25,true
Microsoft SQL Server Standard,DENJC5F5NK,2025-03-27,true
Microsoft SQL Server Standard,DE3UDR92HR,2026-01-26,true
Microsoft SQL Server Standard,NODQ2YMMRW,2025-02-02,true
Microsoft SQL Server Standard,TAWFDKLDFT,2025-08-22,true
Microsoft SQL Server Standard,MOMUWGFWUV,2025-05-30,true
Microsoft SQL Server Standard,IMJVWN8WM3,2025-11-27,true
Adobe Creative Cloud,IMFGRYLC3X,2026-08-29,true
Adobe Creative Cloud,IMCENP8PXV,2026-05-02,true
Adobe Creative Cloud,IMQ5BTBMTV,2026-08-27,true
Adobe Creative Cloud,SM69LFBQUC,2026-03-10,true
Adobe Creative Cloud,SELG2C8QN7,2026-05-01,true
Adobe Creative Cloud,TAQ5FGAP8E,2026-01-29,true
Adobe Creative Cloud,DEDRF5H7DV,2026-01-22,true
Adobe Creative Cloud,NOTFVFPKW3,2026-03-25,true
Adobe Creative Cloud,DEF5GG6LVB,2026-02-18,true
Adobe Creative Cloud,DE3VHUZQQJ,2026-07-20,true
Adobe Creative Cloud,SEVLMZQHNJ,2026-09-11,true
Adobe Creative Cloud,NOLVCPWKFR,2026-02-23,true
Adobe Creative Cloud,SWXS997LYL,2026-04-13,true
Adobe Creative Cloud,DENBKRJ8HP,2026-07-10,true
Adobe Creative Cloud,RO5HURVHDR,2026-07-30,true
Adobe Creative Cloud,SEBHSMSCG5,2026-05-18,true
Adobe Creative Cloud,NO3WW6TQEN,2026-05-24,true
Adobe Creative Cloud,SWRT6EURTX,2026-05-18,true
Adobe Creative Cloud,MOZ2622FJY,2026-02-06,true
Adobe Creative Cloud,NOQJN3ZFSE,2026-05-11,true
Adobe Creative Cloud,DEU948DFT2,2026-06-09,true
Adobe Creative Cloud,SMFMCR66LZ,2026-07-07,true
Adobe Creative Cloud,DEHJE6M6FW,2026-03-23,true
Adobe Creative Cloud,ROZKN3CCCJ,2026-07-21,true
Adobe Creative Cloud,SE5VDGPPSF,2026-09-20,true
Adobe Creative Cloud,SE4HJCCV9H,2026-05-12,true
Adobe Creative Cloud,SEG6G7AK4K,2026-02-24,true
Adobe Creative Cloud,SM3CMWQG9K,2026-05-20,true
Adobe Creative Cloud,SEJYERZUL6,2026-08-18,true
Adobe Creative Cloud,SEYS8NRTVQ,2026-04-01,true
Adobe Creative Cloud,DEGG5Y547D,2026-09-04,true
Adobe Creative Cloud,DEBN3XTETY,2026-03-02,true
Adobe Creative Cloud,SWWEVCHBXG,2026-03-04,true
Adobe Creative Cloud,SMVLTFZSFZ,2026-09-04,true
Adobe Creative Cloud,IMY5LJPPDY,2026-01-24,true
Adobe Creative Cloud,DEZ2ZM6CS6,2026-06-24,true
Adobe Creative Cloud,NOEYRGXJCY,2026-02-14,true
Adobe Creative Cloud,NOEUGCXJ2K,2026-03-06,true
Adobe Acrobat Pro,IM3EKBFP24,2025-01-04,true
Adobe Acrobat Pro,DENBKRJ8HP,2025-09-18,true
Adobe Acrobat Pro,DESPXF6ZFN,2026-08-26,true
Adobe Acrobat Pro,NOMC4QWR4W,2026-05-17,true
Adobe Acrobat Pro,MOMUWGFWUV,2025-06-19,true
Adobe Acrobat Pro,DEA468UCQU,2025-06-15,true
Adobe Acrobat Pro,SEBHSMSCG5,2026-02-15,true
Adobe Acrobat Pro,TARVC6SYF6,2026-04-22,true
Adobe Acrobat Pro,NOLVCPWKFR,2025-01-30,true
Adobe Acrobat Pro,TASMGVNKZL,2026-04-20,true
Adobe Acrobat Pro,SMUUTGJ4DT,2025-02-17,true
Adobe Acrobat Pro,ROG6QCV7BD,2026-01-25,true
Adobe Acrobat Pro,DEVAJTCDUJ,2026-06-01,true
Adobe Acrobat Pro,SW9V9BF37R,2025-10-01,true
Adobe Acrobat Pro,NO5FQ6YB4D,2024-11-20,true
Adobe Acrobat Pro,IMU6H7V3T9,2026-05-18,true
Adobe Acrobat Pro,DEF5GG6LVB,2025-07-26,true
Adobe Acrobat Pro,DE3UDR92HR,2024-11-05,true
Adobe Acrobat Pro,DE2A2S7U59,2026-02-18,true
Adobe Acrobat Pro,IMY5LJPPDY,2025-06-16,true
Adobe Acrobat Pro,NOZNTZ73HB,2025-03-16,true
Adobe Acrobat Pro,TAAD264L49,2024-11-04,true
Adobe Acrobat Pro,SE98UAG5JS,2025-09-04,true
Adobe Acrobat Pro,TAQ5FGAP8E,2026-05-20,true
Adobe Acrobat Pro,ROAVGJSHGK,2026-01-09,true
Adobe Acrobat Pro,NOKYVX7P8Y,2026-02-23,true
Adobe Acrobat Pro,NOWWRVKQ4V,2026-07-08,true
Adobe Acrobat Pro,ROLX57Q3MM,2025-02-22,true
Adobe Acrobat Pro,NO6DYA9JN2,2025-11-01,true
Adobe Acrobat Pro,SEPCD3U453,2025-03-02,true
Adobe Acrobat Pro,MO4J25M9ML,2025-04-28,true
Adobe Acrobat Pro,SWRT6EURTX,2026-05-24,true
Adobe Acrobat Pro,MO362XM99Z,2026-05-30,true
Adobe Acrobat Pro,NOG7BHL67A,2026-07-18,true
Adobe Acrobat Pro,DE3DAPVPJS,2026-09-19,true
Adobe Acrobat Pro,NODQ2YMMRW,2025-08-01,true
Adobe Acrobat Pro,SEPS9SDF5T,2026-08-22,true
Adobe Acrobat Pro,MOFRL2LJTV,2024-09-26,true
Adobe Acrobat Pro,ROSAHTXHU5,2025-02-28,true
Adobe Acrobat Pro,DEB2Y89YW2,2026-04-18,true
Adobe Acrobat Pro,SMFZEB28C2,2026-02-22,true
Adobe Acrobat Pro,SWK68YX27W,2026-09-13,true
Adobe Acrobat Pro,IM2ZGQ8BWQ,2026-03-25,true
Adobe Acrobat Pro,NOH9BRKU5A,2026-01-30,true
Adobe Acrobat Pro,MOTLS8UXH7,2026-01-11,true
Adobe Acrobat Pro,NO23WT7A4H,2026-08-21,true
Adobe Acrobat Pro,DE8E74N293,2026-09-07,true
Adobe Acrobat Pro,NORQEXBQQA,2025-01-11,true
Adobe Acrobat Pro,NOHKVLLWQY,2026-05-23,true
Adobe Acrobat Pro,NOGRNN6J5M,2024-10-25,true
Adobe Acrobat Pro,SM8LS5PNV3,2026-03-26,true
Adobe Acrobat Pro,SMF5ZBZVMP,2025-06-17,true
Adobe Acrobat Pro,SWHK9UT488,2026-04-27,true
Adobe Acrobat Pro,IMGGGUY4S2,2026-07-03,true
Adobe Acrobat Pro,IMKRLM4BMX,2025-08-21,true
Adobe Acrobat Pro,MOZ5KR4MLM,2026-06-14,true
Adobe Acrobat Pro,TAG5QM7DRH,2026-02-26,true
Adobe Acrobat Pro,SE5VDGPPSF,2025-11-06,true
Adobe Acrobat Pro,DEVFJWHRVH,2025-03-18,true
AutoCAD LT,NOKYVX7P8Y,2026-05-28,true
AutoCAD LT,DE67W4HYP6,2026-08-25,true
AutoCAD LT,NOG7BHL67A,2026-07-13,true
AutoCAD LT,MOF5GR53F3,2025-11-13,true
AutoCAD LT,IMGGGUY4S2,2026-08-17,true
AutoCAD LT,SM69LFBQUC,2026-04-16,true
AutoCAD LT,NOAVGXU79J,2025-04-02,true
AutoCAD LT,SELG2C8QN7,2025-11-13,true
AutoCAD LT,NOYV3JFV2X,2025-04-10,true
AutoCAD LT,NORQEXBQQA,2025-07-25,true
AutoCAD LT,NOJVA3X2X6,2026-01-30,true
AutoCAD LT,IM3WBT69QY,2025-11-17,true
AutoCAD LT,NONZUE26TH,2026-08-27,true
CorelDRAW Graphics Suite,TASP4B9UV8,2025-12-19,true
CorelDRAW Graphics Suite,NO3WW6TQEN,2026-08-26,true
CorelDRAW Graphics Suite,SM3ZF3ASH7,2026-06-22,true
CorelDRAW Graphics Suite,TA7P6UE49J,2026-04-04,true
CorelDRAW Graphics Suite,IMH2NSC5AN,2026-09-02,true
CorelDRAW Graphics Suite,MOJCVZCYPR,2026-02-04,true
CorelDRAW Graphics Suite,DE9PYSXTTA,2026-04-23,true
CorelDRAW Graphics Suite,NOH9BRKU5A,2026-01-09,true
CorelDRAW Graphics Suite,MO7D7VB3SA,2026-01-29,true
CorelDRAW Graphics Suite,IM3EKBFP24,2026-07-15,true
CorelDRAW Graphics Suite,SWK68YX27W,2026-09-13,true
CorelDRAW Graphics Suite,DEWHMNP8TU,2025-09-09,true
CorelDRAW Graphics Suite,SMFZEB28C2,2026-05-13,true
CorelDRAW Graphics Suite,DE4CW822K9,2026-07-20,true
CorelDRAW Graphics Suite,ROLX57Q3MM,2026-07-17,true
CorelDRAW Graphics Suite,DE3HRCF4WS,2026-01-14,true
JetBrains All Products Pack,SWFGJ3ED5J,2025-05-02,true
JetBrains All Products Pack,DEGG5Y547D,2026-09-19,true
JetBrains All Products Pack,ROLE6YV5S7,2025-11-26,true
JetBrains All Products Pack,NO23WT7A4H,2025-12-16,true
JetBrains All Products Pack,SE5TESE97Z,2026-07-31,true
JetBrains All Products Pack,SMDXEXG2US,2025-04-13,true
JetBrains All Products Pack,NOEUGCXJ2K,2026-01-02,true
JetBrains All Products Pack,SM3ZF3ASH7,2025-02-25,true
JetBrains All Products Pack,DE4CW822K9,2026-02-04,true
JetBrains All Products Pack,NO8RP3RWU2,2025-04-15,true
JetBrains All Products Pack,SEPS9SDF5T,2026-09-02,true
JetBrains All Products Pack,SM69LFBQUC,2025-10-18,true
JetBrains All Products Pack,IM2ZGQ8BWQ,2026-03-23,true
JetBrains All Products Pack,MO9WMYQM2V,2026-01-29,true
JetBrains All Products Pack,DE5P9TWUXJ,2026-01-30,true
JetBrains All Products Pack,TAQ5FGAP8E,2026-02-10,true
JetBrains All Products Pack,NOTFVFPKW3,2025-09-03,true
JetBrains All Products Pack,MOZ5KR4MLM,2025-04-06,true
JetBrains All Products Pack,NOJVA3X2X6,2025-05-10,true
JetBrains All Products Pack,NOEYRGXJCY,2025-06-27,true
JetBrains All Products Pack,NOWWRVKQ4V,2026-07-13,true
JetBrains All Products Pack,IMKEM976WW,2025-04-18,true
JetBrains All Products Pack,SEM59F8Y4X,2026-07-02,true
JetBrains All Products Pack,SE98UAG5JS,2025-07-01,true
JetBrains All Products Pack,DEQ6Z37KYB,2025-08-26,true
JetBrains All Products Pack,ROSAHTXHU5,2025-08-08,true
JetBrains All Products Pack,IMKRLM4BMX,2026-06-02,true
JetBrains All Products Pack,DE6TXVASZR,2026-01-22,true
Kaspersky Endpoint Security,NOKYVX7P8Y,2026-04-26,true
Kaspersky Endpoint Security,SWK68YX27W,2026-04-02,true
Kaspersky Endpoint Security,ROG6QCV7BD,2026-05-15,true
Kaspersky Endpoint Security,TAWT4FN6P4,2026-02-23,true
Kaspersky Endpoint Security,DEB2Y89YW2,2026-05-10,true
Kaspersky Endpoint Security,NOAVGXU79J,2026-02-12,true
Kaspersky Endpoint Security,IMH2NSC5AN,2026-03-31,true
Kaspersky Endpoint Security,NOZQBWGXKJ,2026-07-04,true
Kaspersky Endpoint Security,SM6Y6CY5TD,2026-07-27,true
Kaspersky Endpoint Security,SMFZEB28C2,2026-05-24,true
Kaspersky Endpoint Security,SE5VDGPPSF,2025-10-26,true
Kaspersky Endpoint Security,SMTJGRRDQQ,2026-05-16,true
Kaspersky Endpoint Security,SW9V9BF37R,2025-11-28,true
Kaspersky Endpoint Security,ROTJVFLKLX,2026-09-03,true
Kaspersky Endpoint Security,MOZ2622FJY,2026-05-18,true
Kaspersky Endpoint Security,IMJVWN8WM3,2025-12-29,true
Kaspersky Endpoint Security,MOLSGHQACA,2026-07-09,true
Kaspersky Endpoint Security,TAY3JZGWR7,2025-12-26,true
Kaspersky Endpoint Security,DE67W4HYP6,2025-09-22,true
Kaspersky Endpoint Security,DEVAJTCDUJ,2026-02-23,true
Kaspersky Endpoint Security,MOKN9VM9CF,2026-06-03,true
Kaspersky Endpoint Security,MOBXVVT9GQ,2026-03-30,true
Kaspersky Endpoint Security,NOCXERT9PJ,2026-05-29,true
Kaspersky Endpoint Security,NOLVCPWKFR,2026-04-15,true
Kaspersky Endpoint Security,NOEYRGXJCY,2026-04-20,true
Kaspersky Endpoint Security,TASP4B9UV8,2026-04-10,true
Kaspersky Endpoint Security,SEWHVV4W3U,2026-03-30,true
Kaspersky Endpoint Security,SM3CMWQG9K,2026-04-04,true
Kaspersky Endpoint Security,TAWFDKLDFT,2026-05-28,true
Kaspersky Endpoint Security,DE564GBFYF,2026-02-24,true
Kaspersky Endpoint Security,IMCENP8PXV,2026-08-14,true
Kaspersky Endpoint Security,MO9WMYQM2V,2026-01-25,true
Kaspersky Endpoint Security,SWXS997LYL,2026-04-17,true
Kaspersky Endpoint Security,SMAL9YSLZJ,2025-10-09,true
Kaspersky Endpoint Security,SMQSN5HQKT,2026-05-21,true
Veeam Backup Essentials,SE38SCNUYD,2026-01-03,true
Veeam Backup Essentials,SE3FZ37RQV,2026-01-23,true
Veeam Backup Essentials,IMDKKVFRH4,2026-07-01,true
Veeam Backup Essentials,SWHK9UT488,2025-10-24,true
Veeam Backup Essentials,NOLVCPWKFR,2025-10-22,true
Veeam Backup Essentials,NODU24RLWW,2026-06-21,true
Veeam Backup Essentials,MO7Z4K4G94,2026-06-24,true
Veeam Backup Essentials,SWJFXHC7DL,2026-08-10,true
Veeam Backup Essentials,SWFGJ3ED5J,2025-12-22,true
Veeam Backup Essentials,NOTFVFPKW3,2026-05-09,true
Veeam Backup Essentials,NO8NZ67U24,2026-08-16,true
Veeam Backup Essentials,ROJQABV752,2026-06-01,true
Veeam Backup Essentials,MOWJRTFRUB,2025-08-03,true
Veeam Backup Essentials,DE6TXVASZR,2026-06-12,true
Veeam Backup Essentials,NOKYVX7P8Y,2026-08-09,true
Veeam Backup Essentials,NOG7BHL67A,2026-07-16,true
Veeam Backup Essentials,RO5HURVHDR,2025-09-03,true
Veeam Backup Essentials,TAQ5FGAP8E,2025-10-31,true
Veeam Backup Essentials,SMSL65AHEK,2026-04-25,true
Veeam Backup Essentials,DE7HS9W23H,2026-02-08,true
VMware vSphere Standard,NOWR39KT42,2026-08-26,true
VMware vSphere Standard,IMZ8Y5XY7T,2026-05-16,true
VMware vSphere Standard,MO7Z4K4G94,2026-09-03,true
VMware vSphere Standard,IM2ZGQ8BWQ,2025-03-01,true
VMware vSphere Standard,MOT4V8EZSR,2026-05-11,true
VMware vSphere Standard,NO2X2JFYDG,2026-01-16,true
VMware vSphere Standard,NO6DYA9JN2,2026-07-30,true
VMware vSphere Standard,DENJC5F5NK,2025-03-21,true
VMware vSphere Standard,IMDKKVFRH4,2024-08-09,true
VMware vSphere Standard,SM8LS5PNV3,2026-01-31,true
VMware vSphere Standard,SWB2X3L7JB,2025-11-27,true
VMware vSphere Standard,SWJFXHC7DL,2026-06-24,true
VMware vSphere Standard,DE8E74N293,2026-05-15,true
VMware vSphere Standard,ROLX57Q3MM,2024-12-13,true
VMware vSphere Standard,DE3UDR92HR,2025-01-20,true
VMware vSphere Standard,SE38SCNUYD,2025-10-20,true
VMware vSphere Standard,SM6Y6CY5TD,2026-05-26,true
VMware vSphere Standard,MOPK46PFGJ,2025-06-01,true
VMware vSphere Standard,SM2FUREFTK,2026-04-05,true
VMware vSphere Standard,IMH2NSC5AN,2025-03-31,true
VMware vSphere Standard,SMDRC36QPD,2024-04-26,true
VMware vSphere Standard,ROA74DNZ96,2025-10-14,true
VMware vSphere Standard,ROTJVFLKLX,2026-09-10,true
VMware vSphere Standard,SE5VDGPPSF,2026-01-26,true
VMware vSphere Standard,TASP4B9UV8,2024-04-21,true
VMware vSphere Standard,SE4HJCCV9H,2025-07-08,true
VMware vSphere Standard,SMVLTFZSFZ,2026-05-28,true
VMware vSphere Standard,SW4TPHY5HU,2026-06-21,true
Zoom Workplace Business,TAQ5FGAP8E,2025-02-09,true
Zoom Workplace Business,NOWE67YJMJ,2025-09-16,true
Zoom Workplace Business,TAM59DY2W4,2026-01-02,true
Zoom Workplace Business,DE8YYLSFUB,2025-12-11,true
Zoom Workplace Business,DEVFJWHRVH,2025-03-27,true
Zoom Workplace Business,IMVYGPK8QG,2025-08-30,true
Zoom Workplace Business,SE5TESE97Z,2025-01-24,true
Zoom Workplace Business,TAY3JZGWR7,2026-03-05,true
Zoom Workplace Business,DEA468UCQU,2024-12-20,true
Zoom Workplace Business,IMU6H7V3T9,2026-08-16,true
Zoom Workplace Business,NOH9BRKU5A,2025-09-17,true
Zoom Workplace Business,SE49U3C7FW,2026-04-23,true
Zoom Workplace Business,MOPK46PFGJ,2026-03-31,true
Zoom Workplace Business,NO5Z7K5MT8,2025-03-03,true
Zoom Workplace Business,DEJET4XTAU,2024-11-29,true
Zoom Workplace Business,SEL7SMAXUN,2025-01-21,true
Zoom Workplace Business,SEM59F8Y4X,2025-08-19,true
Zoom Workplace Business,MOEDE8CU4M,2024-11-27,true
Zoom Workplace Business,MOB28AYV24,2026-07-09,true
Zoom Workplace Business,ROZKN3CCCJ,2025-01-01,true
Zoom Workplace Business,TACF3228DA,2026-04-13,true
Zoom Workplace Business,SE3FX2W9CE,2025-06-24,true
Zoom Workplace Business,DEZ2ZM6CS6,2025-04-27,true
Zoom Workplace Business,SWK68YX27W,2025-12-09,true
Zoom Workplace Business,MOJCVZCYPR,2026-07-30,true
Zoom Workplace Business,DER49DKTFC,2026-05-06,true
Zoom Workplace Business,TAAD264L49,2025-08-19,true
Zoom Workplace Business,DE67W4HYP6,2026-04-01,true
Zoom Workplace Business,SWHK9UT488,2026-03-19,true
Zoom Workplace Business,SW6RZGZYD3,2026-09-11,true
Zoom Workplace Business,DEHJE6M6FW,2025-10-31,true
Zoom Workplace Business,SW9V9BF37R,2026-07-31,true
Zoom Workplace Business,IMFGRYLC3X,2026-06-09,true
Zoom Workplace Business,SM52E6834C,2025-10-30,true
Zoom Workplace Business,DE2KPE44X7,2026-07-06,true
Zoom Workplace Business,NOKYVX7P8Y,2026-08-13,true
Zoom Workplace Business,SE5VDGPPSF,2026-08-18,true
Slack Pro,NOEUGCXJ2K,2026-02-03,true
Slack Pro,SE534UH3BW,2026-04-21,true
Slack Pro,NO8QL6ECUB,2026-08-31,true
Slack Pro,MOTLS8UXH7,2026-04-14,true
Slack Pro,NOZQBWGXKJ,2026-08-14,true
Slack Pro,SM69LFBQUC,2026-02-14,true
Slack Pro,ROLBK6CJER,2026-01-20,true
Slack Pro,SMFZEB28C2,2026-05-16,true
Slack Pro,IMJVWN8WM3,2026-08-30,true
Atlassian Jira Software,TAQ5FGAP8E,2026-07-29,true
Atlassian Jira Software,ROLBK6CJER,2026-05-03,true
Atlassian Jira Software,DEDRF5H7DV,2026-07-28,true
Atlassian Jira Software,DEZ2ZM6CS6,2025-07-12,true
Atlassian Jira Software,DE9PYSXTTA,2026-06-17,true
Atlassian Jira Software,DEGG5Y547D,2026-07-13,true
Atlassian Jira Software,MOT4V8EZSR,2026-07-20,true
Atlassian Jira Software,DENBKRJ8HP,2025-06-30,true
Atlassian Jira Software,TA8RQVK7D4,2026-04-18,true
Atlassian Jira Software,SE75GHP56Q,2026-01-14,true
Atlassian Jira Software,SWAAXH5J8E,2025-10-05,true
Atlassian Jira Software,SWFGJ3ED5J,2025-08-13,true
Atlassian Jira Software,TAAD264L49,2026-09-03,true
Atlassian Jira Software,IM2ZGQ8BWQ,2026-08-18,true
Atlassian Jira Software,RO5HURVHDR,2025-04-21,true
Atlassian Jira Software,ROZKN3CCCJ,2025-07-28,true
Atlassian Jira Software,TA7P6UE49J,2026-01-29,true
Atlassian Jira Software,DE5P9TWUXJ,2025-06-17,true
Atlassian Jira Software,MO4J25M9ML,2026-01-22,true
Atlassian Jira Software,SWGJAL488N,2026-07-11,true
Atlassian Jira Software,SENHC4BRPE,2025-09-08,true
Atlassian Jira Software,SEVLMZQHNJ,2026-06-19,true
Atlassian Jira Software,NO6DYA9JN2,2025-07-16,true
Atlassian Jira Software,ROA74DNZ96,2026-03-23,true
Atlassian Jira Software,DEJ9FDHKL5,2025-11-21,true
Atlassian Jira Software,SWWEVCHBXG,2025-11-24,true
Atlassian Jira Software,IMKEM976WW,2025-10-22,true
Atlassian Jira Software,NORQEXBQQA,2025-09-10,true
Atlassian Jira Software,NOKYVX7P8Y,2026-08-31,true
Atlassian Jira Software,NOZQBWGXKJ,2025-06-19,true
Atlassian Jira Software,SEJYERZUL6,2025-07-06,true
Atlassian Jira Software,MOLSGHQACA,2026-08-14,true
Atlassian Jira Software,SMFMCR66LZ,2025-04-18,true
